CI,Condition,Imaging_method,Colony,X_centerPx,Y_centerPx,X_centerUm,Y_centerUm,RadiusPx,RadiusUm,Spatial_calibration,Frame,Time
CI1390,exponential,TL,44,2359,758,66440.1898734177,21348.7341772152,NaN,NaN,28.1645569620253,158,26.1666666666667
CI1390,exponential,TL,45,2995,1250,84352.8481012658,35205.6962025316,38.1837661840736,1075.428857716,28.1645569620253,158,26.1666666666667
CI1390,exponential,TL,46,3464,2390,97562.0253164557,67313.2911392405,36.7695526217005,1035.59815928207,28.1645569620253,158,26.1666666666667
CI1390,exponential,TL,1,3579,2224,100800.949367089,62637.9746835443,38.1837661840736,1075.428857716,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,2,1615,1339,45485.7594936709,37712.3417721519,41.7193000900063,1175.00560380081,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,3,2031,1083,57202.2151898734,30502.2151898734,38.1837661840736,1075.428857716,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,4,3218,827,90633.5443037975,23292.0886075949,39.5979797464467,1115.25955614992,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,5,2809,2574,79114.2405063291,72495.5696202532,40.3050865276332,1135.17490536688,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,6,2960,1190,83367.0886075949,33515.8227848101,41.0121933088198,1155.09025458385,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,7,3503,2341,98660.4430379747,65933.2278481013,38.8908729652601,1095.34420693296,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,8,1601,1603,45091.4556962025,45147.7848101266,42.4264068711928,1194.92095301777,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,9,3434,2089,96717.0886075949,58835.7594936709,38.1837661840736,1075.428857716,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,10,2818,943,79367.7215189873,26559.1772151899,41.7193000900063,1175.00560380081,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,11,2872,2859,80888.6075949367,80522.4683544304,42.4264068711928,1194.92095301777,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,12,3594,2009,101223.417721519,56582.5949367089,38.8908729652601,1095.34420693296,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,13,3003,2761,84578.164556962,77762.3417721519,39.5979797464467,1115.25955614992,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,14,3633,1618,102321.835443038,45570.253164557,39.5979797464467,1115.25955614992,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,15,1499,2067,42218.6708860759,58216.1392405063,43.1335136523794,1214.83630223474,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,16,1671,973,47062.9746835443,27404.1139240506,41.0121933088198,1155.09025458385,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,17,1746,857,49175.3164556962,24137.0253164557,41.0121933088198,1155.09025458385,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,18,2046,1782,57624.6835443038,50189.2405063291,42.4264068711928,1194.92095301777,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,19,2187,1867,61595.8860759494,52583.2278481013,41.0121933088198,1155.09025458385,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,20,2591,2865,72974.3670886076,80691.4556962025,41.7193000900063,1175.00560380081,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,21,1370,1603,38585.4430379747,45147.7848101266,41.0121933088198,1155.09025458385,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,22,1666,2080,46922.1518987342,58582.2784810127,39.5979797464467,1115.25955614992,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,23,1688,2238,47541.7721518987,63032.2784810127,40.3050865276332,1135.17490536688,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,24,2200,2002,61962.0253164557,56385.4430379747,41.7193000900063,1175.00560380081,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,25,2419,2168,68130.0632911392,61060.7594936709,43.1335136523794,1214.83630223474,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,26,2732,1943,76945.5696202532,54723.7341772152,41.7193000900063,1175.00560380081,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,27,2767,2491,77931.329113924,70157.9113924051,41.0121933088198,1155.09025458385,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,28,2920,695,82240.5063291139,19574.3670886076,41.0121933088198,1155.09025458385,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,29,2969,2010,83620.5696202532,56610.7594936709,41.7193000900063,1175.00560380081,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,30,3343,2057,94154.1139240506,57934.4936708861,39.5979797464467,1115.25955614992,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,31,3449,2513,97139.5569620253,70777.5316455696,39.5979797464467,1115.25955614992,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,32,3021,1365,85085.1265822785,38444.6202531646,41.7193000900063,1175.00560380081,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,33,2331,736,65651.582278481,20729.1139240506,37.476659402887,1055.51350849903,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,34,2437,720,68637.0253164557,20278.4810126582,39.5979797464467,1115.25955614992,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,35,1563,1579,44021.2025316456,44471.835443038,38.1837661840736,1075.428857716,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,36,1963,1188,55287.0253164557,33459.4936708861,NaN,NaN,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,37,2032,1151,57230.3797468354,32417.4050632911,38.1837661840736,1075.428857716,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,38,1313,1722,36980.0632911392,48499.3670886076,40.3050865276332,1135.17490536688,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,39,1297,1710,36529.4303797468,48161.3924050633,37.476659402887,1055.51350849903,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,40,1856,1185,52273.417721519,33375,35.3553390593274,995.767460848144,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,41,2045,672,57596.5189873418,18926.582278481,36.0624458405139,1015.68281006511,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,42,2032,691,57230.3797468354,19461.7088607595,NaN,NaN,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,43,2008,669,56554.4303797468,18842.0886075949,36.0624458405139,1015.68281006511,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,44,2359,758,66440.1898734177,21348.7341772152,NaN,NaN,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,45,2995,1250,84352.8481012658,35205.6962025316,38.1837661840736,1075.428857716,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,46,3464,2390,97562.0253164557,67313.2911392405,37.476659402887,1055.51350849903,28.1645569620253,159,26.3333333333333
CI1390,exponential,TL,1,3579,2224,100800.949367089,62637.9746835443,38.1837661840736,1075.428857716,28.1645569620253,160,26.5
CI1390,exponential,TL,2,1615,1339,45485.7594936709,37712.3417721519,41.7193000900063,1175.00560380081,28.1645569620253,160,26.5
CI1390,exponential,TL,3,2031,1083,57202.2151898734,30502.2151898734,38.1837661840736,1075.428857716,28.1645569620253,160,26.5
CI1390,exponential,TL,4,3218,827,90633.5443037975,23292.0886075949,39.5979797464467,1115.25955614992,28.1645569620253,160,26.5
CI1390,exponential,TL,5,2809,2574,79114.2405063291,72495.5696202532,40.3050865276332,1135.17490536688,28.1645569620253,160,26.5
CI1390,exponential,TL,6,2960,1190,83367.0886075949,33515.8227848101,41.7193000900063,1175.00560380081,28.1645569620253,160,26.5
CI1390,exponential,TL,7,3503,2341,98660.4430379747,65933.2278481013,38.8908729652601,1095.34420693296,28.1645569620253,160,26.5
CI1390,exponential,TL,8,1601,1603,45091.4556962025,45147.7848101266,43.1335136523794,1214.83630223474,28.1645569620253,160,26.5
CI1390,exponential,TL,9,3434,2089,96717.0886075949,58835.7594936709,38.1837661840736,1075.428857716,28.1645569620253,160,26.5
CI1390,exponential,TL,10,2818,943,79367.7215189873,26559.1772151899,42.4264068711928,1194.92095301777,28.1645569620253,160,26.5
CI1390,exponential,TL,11,2872,2859,80888.6075949367,80522.4683544304,43.1335136523794,1214.83630223474,28.1645569620253,160,26.5
CI1390,exponential,TL,12,3594,2009,101223.417721519,56582.5949367089,38.8908729652601,1095.34420693296,28.1645569620253,160,26.5
CI1390,exponential,TL,13,3003,2761,84578.164556962,77762.3417721519,40.3050865276332,1135.17490536688,28.1645569620253,160,26.5
CI1390,exponential,TL,14,3633,1618,102321.835443038,45570.253164557,39.5979797464467,1115.25955614992,28.1645569620253,160,26.5
CI1390,exponential,TL,15,1499,2067,42218.6708860759,58216.1392405063,43.1335136523794,1214.83630223474,28.1645569620253,160,26.5
CI1390,exponential,TL,16,1671,973,47062.9746835443,27404.1139240506,41.0121933088198,1155.09025458385,28.1645569620253,160,26.5
CI1390,exponential,TL,17,1746,857,49175.3164556962,24137.0253164557,41.0121933088198,1155.09025458385,28.1645569620253,160,26.5
CI1390,exponential,TL,18,2046,1782,57624.6835443038,50189.2405063291,42.4264068711928,1194.92095301777,28.1645569620253,160,26.5
CI1390,exponential,TL,19,2187,1867,61595.8860759494,52583.2278481013,41.0121933088198,1155.09025458385,28.1645569620253,160,26.5
CI1390,exponential,TL,20,2591,2865,72974.3670886076,80691.4556962025,42.4264068711928,1194.92095301777,28.1645569620253,160,26.5
CI1390,exponential,TL,21,1370,1603,38585.4430379747,45147.7848101266,41.0121933088198,1155.09025458385,28.1645569620253,160,26.5
CI1390,exponential,TL,22,1666,2080,46922.1518987342,58582.2784810127,40.3050865276332,1135.17490536688,28.1645569620253,160,26.5
CI1390,exponential,TL,23,1688,2238,47541.7721518987,63032.2784810127,40.3050865276332,1135.17490536688,28.1645569620253,160,26.5
CI1390,exponential,TL,24,2200,2002,61962.0253164557,56385.4430379747,41.7193000900063,1175.00560380081,28.1645569620253,160,26.5
CI1390,exponential,TL,25,2419,2168,68130.0632911392,61060.7594936709,43.1335136523794,1214.83630223474,28.1645569620253,160,26.5
CI1390,exponential,TL,26,2732,1943,76945.5696202532,54723.7341772152,42.4264068711928,1194.92095301777,28.1645569620253,160,26.5
CI1390,exponential,TL,27,2767,2491,77931.329113924,70157.9113924051,41.0121933088198,1155.09025458385,28.1645569620253,160,26.5
CI1390,exponential,TL,28,2920,695,82240.5063291139,19574.3670886076,41.0121933088198,1155.09025458385,28.1645569620253,160,26.5
CI1390,exponential,TL,29,2969,2010,83620.5696202532,56610.7594936709,42.4264068711928,1194.92095301777,28.1645569620253,160,26.5
CI1390,exponential,TL,30,3343,2057,94154.1139240506,57934.4936708861,39.5979797464467,1115.25955614992,28.1645569620253,160,26.5
CI1390,exponential,TL,31,3449,2513,97139.5569620253,70777.5316455696,40.3050865276332,1135.17490536688,28.1645569620253,160,26.5
CI1390,exponential,TL,32,3021,1365,85085.1265822785,38444.6202531646,41.7193000900063,1175.00560380081,28.1645569620253,160,26.5
CI1390,exponential,TL,33,2331,736,65651.582278481,20729.1139240506,37.476659402887,1055.51350849903,28.1645569620253,160,26.5
CI1390,exponential,TL,34,2437,720,68637.0253164557,20278.4810126582,40.3050865276332,1135.17490536688,28.1645569620253,160,26.5
CI1390,exponential,TL,35,1563,1579,44021.2025316456,44471.835443038,38.8908729652601,1095.34420693296,28.1645569620253,160,26.5
CI1390,exponential,TL,36,1963,1188,55287.0253164557,33459.4936708861,NaN,NaN,28.1645569620253,160,26.5
CI1390,exponential,TL,37,2032,1151,57230.3797468354,32417.4050632911,38.1837661840736,1075.428857716,28.1645569620253,160,26.5
CI1390,exponential,TL,38,1313,1722,36980.0632911392,48499.3670886076,41.0121933088198,1155.09025458385,28.1645569620253,160,26.5
CI1390,exponential,TL,39,1297,1710,36529.4303797468,48161.3924050633,37.476659402887,1055.51350849903,28.1645569620253,160,26.5
CI1390,exponential,TL,40,1856,1185,52273.417721519,33375,35.3553390593274,995.767460848144,28.1645569620253,160,26.5
CI1390,exponential,TL,41,2045,672,57596.5189873418,18926.582278481,36.0624458405139,1015.68281006511,28.1645569620253,160,26.5
CI1390,exponential,TL,42,2032,691,57230.3797468354,19461.7088607595,NaN,NaN,28.1645569620253,160,26.5
CI1390,exponential,TL,43,2008,669,56554.4303797468,18842.0886075949,36.0624458405139,1015.68281006511,28.1645569620253,160,26.5
CI1390,exponential,TL,44,2359,758,66440.1898734177,21348.7341772152,NaN,NaN,28.1645569620253,160,26.5
CI1390,exponential,TL,45,2995,1250,84352.8481012658,35205.6962025316,38.8908729652601,1095.34420693296,28.1645569620253,160,26.5
CI1390,exponential,TL,46,3464,2390,97562.0253164557,67313.2911392405,37.476659402887,1055.51350849903,28.1645569620253,160,26.5
CI1390,exponential,TL,1,3579,2224,100800.949367089,62637.9746835443,38.1837661840736,1075.428857716,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,2,1615,1339,45485.7594936709,37712.3417721519,42.4264068711928,1194.92095301777,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,3,2031,1083,57202.2151898734,30502.2151898734,38.8908729652601,1095.34420693296,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,4,3218,827,90633.5443037975,23292.0886075949,40.3050865276332,1135.17490536688,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,5,2809,2574,79114.2405063291,72495.5696202532,40.3050865276332,1135.17490536688,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,6,2960,1190,83367.0886075949,33515.8227848101,41.7193000900063,1175.00560380081,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,7,3503,2341,98660.4430379747,65933.2278481013,39.5979797464467,1115.25955614992,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,8,1601,1603,45091.4556962025,45147.7848101266,43.1335136523794,1214.83630223474,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,9,3434,2089,96717.0886075949,58835.7594936709,38.8908729652601,1095.34420693296,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,10,2818,943,79367.7215189873,26559.1772151899,42.4264068711928,1194.92095301777,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,11,2872,2859,80888.6075949367,80522.4683544304,43.1335136523794,1214.83630223474,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,12,3594,2009,101223.417721519,56582.5949367089,39.5979797464467,1115.25955614992,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,13,3003,2761,84578.164556962,77762.3417721519,40.3050865276332,1135.17490536688,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,14,3633,1618,102321.835443038,45570.253164557,40.3050865276332,1135.17490536688,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,15,1499,2067,42218.6708860759,58216.1392405063,43.8406204335659,1234.7516514517,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,16,1671,973,47062.9746835443,27404.1139240506,41.7193000900063,1175.00560380081,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,17,1746,857,49175.3164556962,24137.0253164557,41.7193000900063,1175.00560380081,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,18,2046,1782,57624.6835443038,50189.2405063291,43.1335136523794,1214.83630223474,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,19,2187,1867,61595.8860759494,52583.2278481013,41.7193000900063,1175.00560380081,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,20,2591,2865,72974.3670886076,80691.4556962025,42.4264068711928,1194.92095301777,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,21,1370,1603,38585.4430379747,45147.7848101266,41.0121933088198,1155.09025458385,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,22,1666,2080,46922.1518987342,58582.2784810127,40.3050865276332,1135.17490536688,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,23,1688,2238,47541.7721518987,63032.2784810127,40.3050865276332,1135.17490536688,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,24,2200,2002,61962.0253164557,56385.4430379747,41.7193000900063,1175.00560380081,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,25,2419,2168,68130.0632911392,61060.7594936709,43.1335136523794,1214.83630223474,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,26,2732,1943,76945.5696202532,54723.7341772152,42.4264068711928,1194.92095301777,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,27,2767,2491,77931.329113924,70157.9113924051,41.7193000900063,1175.00560380081,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,28,2920,695,82240.5063291139,19574.3670886076,41.7193000900063,1175.00560380081,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,29,2969,2010,83620.5696202532,56610.7594936709,42.4264068711928,1194.92095301777,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,30,3343,2057,94154.1139240506,57934.4936708861,40.3050865276332,1135.17490536688,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,31,3449,2513,97139.5569620253,70777.5316455696,40.3050865276332,1135.17490536688,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,32,3021,1365,85085.1265822785,38444.6202531646,42.4264068711928,1194.92095301777,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,33,2331,736,65651.582278481,20729.1139240506,38.1837661840736,1075.428857716,28.1645569620253,161,26.6666666666667
CI1390,exponential,TL,34,2437,720,68637.0253164557,20278.4810126582,40.3050865276332,1135.17490536688,28.1645569620253,161,26.6666666666667
